Publication_Type	Authors	Article_Title	Source_Title	Book_Series_Subtitle	Volume	Issue	Special_Issue	Meeting_Abstract	Start_Page	End_Page	Article_Number	DOI	Document_Type	Publication_Date	Publication_Year	Abstract	Times_Cited_WoS_Core	Times_Cited_CSCD	Times_Cited_RSCI	Times_Cited_ARCI	Times_Cited_BCI	Times_Cited_SCIELO	Times_Cited_All_Databases	Indexed_Date	UT_(Unique_ID)	Climate	Land_use	Spatial	Inv_spp	Seeds	Fire	Restor	Class_survey	Veg_dynamics	DBs	Grassland	Forest	Wetlands	Other	INCLUDE
J	"Depauw, Leen; Perring, Michael P.; Landuyt, Dries; Maes, Sybryn L.; Blondeel, Haben; De Lombaerde, Emiel; Brumelis, Guntis; Brunet, Jorg; Closset-Kopp, Deborah; Decocq, Guillaume; Den Ouden, Jan; Haerdtle, Werner; Hedl, Radim; Heinken, Thilo; Heinrichs, Steffi; Jaroszewicz, Bogdan; Kopecky, Martin; Liepina, Ilze; Macek, Martin; Malis, Frantisek; Schmidt, Wolfgang; Smart, Simon M.; Ujhazy, Karol; Wulf, Monika; Verheyen, Kris"	"Evaluating structural and compositional canopy characteristics to predict the light-demand signature of the forest understorey in mixed, semi-natural temperate forests"	APPLIED VEGETATION SCIENCE	NA	24	1	NA	NA	NA	NA	NA	10.1111/avsc.12532	Article	JAN 2021	2021	"Questions Light availability at the forest floor affects many forest ecosystem processes, and is often quantified indirectly through easy-to-measure stand characteristics. We investigated how three such characteristics, basal area, canopy cover and canopy closure, were related to each other in structurally complex mixed forests. We also asked how well they can predict the light-demand signature of the forest understorey (estimated as the mean Ellenberg indicator value for light [EIVLIGHT] and the proportion of forest specialists [%FS] within the plots). Furthermore, we asked whether accounting for the shade-casting ability of individual canopy species could improve predictions ofEIV(LIGHT)and %FS. Location A total of 192 study plots from nineteen temperate forest regions across Europe. Methods In each plot, we measured stand basal area (all stems >7.5 cm diameter), canopy closure (with a densiometer) and visually estimated the percentage cover of all plant species in the herb (<1 m), shrub (1-7 m) and tree layer (>7 m). We used linear mixed-effect models to assess the relationships between basal area, canopy cover and canopy closure. We performed model comparisons, based onR(2)and the Akaike Information Criterion (AIC), to assess which stand characteristics can predictEIV(LIGHT)and %FSbest, and to assess whether canopy shade-casting ability can significantly improve model fit. Results Canopy closure and cover were weakly related to each other, but showed no relation with basal area. For bothEIV(LIGHT)and %FS, canopy cover was the best predictor. Including the share of high-shade-casting species in both the basal-area and cover models improved the model fit forEIV(LIGHT), but not for %FS. Conclusions The typically expected relationships between basal area, canopy cover and canopy closure were weak or even absent in structurally complex mixed forests. In these forests, easy-to-measure structural canopy characteristics were poor predictors of the understorey light-demand signature, but accounting for compositional characteristics could improve predictions."	32	0	0	0	28	0	32	2020-10-18	WOS:000579396600001	0	0	0	0	0	0	0	0	0	0	0	1	0	0	YES
J	"York, Robert A.; Fuchs, Danielle; Battles, John J.; Stephens, Scott L."	"Radial growth responses to gap creation in large, old Sequoiadendron giganteum"	APPLIED VEGETATION SCIENCE	NA	13	4	NA	NA	498	509	NA	10.1111/j.1654-109X.2010.01089.x	Article	OCT 2010	2010	"Questions: Do large, old Sequoiadondron giganteum trees respond to the creation of adjacent canopy gaps? Do other co-occurring tree species and younger S. giganteum adjacent to gaps also respond? What are the likely factors affecting growth responses?Location: Mixed-conifer forests of the southern Sierra Nevada, California, USA.Methods: We measured the growth response of large, old S. giganteum trees (mean DBH=164 cm; ages estimated > 1000 yr) to gap creation by coring trees and comparing growth after gap creation to growth before gap creation. We also measured young Abies concolor, Pinus lambertiana, and young S. giganteum. Gap-adjacent trees were compared with non-adjacent reference trees. Tree rings were analysed for carbon isotope discrimination and for longer-term growth trend correlations with climate.Results: Following gap creation gap-adjacent old S. giganteum grew more than reference trees. Abies concolor trees also exhibited a growth response to gap creation. No response was detected for young S. giganteum or P. lambertiana, although detection power was lower for these groups. There was no difference in carbon isotope discrimination response to gap creation between gap-adjacent and reference trees for old S. giganteum and radial growth was positively correlated with winter precipitation, but not growing season temperature.Conclusion: It is unclear what caused the growth release in old S. giganteum trees, although liberation of below-ground resources following removal of competing vegetation appears to be a significant contributor. Sequoiadondron giganteum, the third-longest lived and the largest of all species, remains sensitive to local environmental changes even after canopy emergence. Management activities that reduce vegetation surrounding individual specimen trees can be expected to result in increased vigor of even these very old and large trees."	19	0	0	0	16	0	21	2010-10-01	WOS:000281556100010	0	0	0	0	0	0	0	0	0	0	0	1	0	0	YES
J	"Ricotta, C; Carranza, ML; Avena, G; Blasi, C"	Are potential natural vegetation maps a meaningful alternative to neutral landscape models?	APPLIED VEGETATION SCIENCE	NA	5	2	NA	NA	271	275	NA	10.1658/1402-2001(2002)005[0271:APNVMA]2.0.CO;2	Article	DEC 2002	2002	"In this paper, we present a short overview of neutral landscape models traditionally adopted in the landscape ecological literature to differentiate landscape patterns that are the result of simple random processes from patterns that are generated from more complex ecological processes. Then, we present another family of models based on Tuxen's definition of potential natural vegetation that play an important role, especially in Europe, for landscape planning and management. While neutral landscape models by their very nature do not take into account vegetation dynamics, nor abiotic constraints to vegetation distribution, the concept of potential natural vegetation includes the effects of vegetation dynamics in a spatially explicit manner. Therefore, we believe that distribution maps of potential natural vegetation may represent an ecological meaningful alternative to neutral landscape models for evaluating the effects of landscape structure on ecological processes."	48	1	0	0	39	2	58	2002-12-01	WOS:000181162900013	0	0	1	0	0	0	0	0	0	0	0	0	0	0	YES
J	"Santos, Julian Medrano; Lipoma, Maria Lucrecia; Enrico, Lucas"	Land Use Modulates Herbivory on Juvenile Stages of Woody Species in a Chaco Dry Forest	APPLIED VEGETATION SCIENCE	NA	28	2	NA	NA	NA	NA	e70023	10.1111/avsc.70023	Article	APR 2025	2025	"AimsLand use modifies natural forest herbivore assemblages by cattle introduction and structural alteration that impact invertebrate diversity. This land use and herbivory combined effect is particularly relevant for woody plant juveniles, which are key stages for regeneration. We aimed to understand how herbivory on juvenile woody plants is affected by land use. In this study, we analyzed how vertebrate and invertebrate herbivory patterns on seedlings and saplings change between land uses in winter and summer seasons.LocationSouthernmost Gran Chaco region, C & oacute;rdoba province, central Argentina.MethodologyWe assessed the invertebrate and vertebrate herbivory on seedlings and saplings of woody species during summer and winter seasons at four different land use types of a Chaco dry forest. Land use types were classified according to the increasing intensity of disturbance (logging and grazing) they are subjected to: Conserved Forest (CF; no disturbance), Secondary Forest (SF; low disturbance), Closed Species-rich Shrubland (CS; intermediate disturbance), and Open Shrubland (OS; high disturbance).ResultsWe found that total herbivory was consistently higher in SF and CS in both seasons. Vertebrate herbivory was higher than invertebrate herbivory in winter (except in CF), with the inverse pattern in summer. Differences between seedling and sapling stages were scarce, with not consistent patterns of herbivory between seasons.ConclusionsThis study shows a pronounced effect of land use on seasonal herbivory patterns and dynamics. The vegetation structure of communities under low and intermediate disturbance intensities would promote diversity of invertebrate herbivores, which, combined with cattle introduction, could result in herbivory complementation and additivity. Understanding how environmental filters, like anthropic activities and herbivory, interplay and affect early growth stages is crucial to achieving land use practices that do not compromise forest resilience and regeneration."	0	0	0	0	0	0	0	2025-05-08	WOS:001478327700001	0	0	0	0	0	0	0	0	0	0	0	1	0	0	YES
J	"Flojgaard, Camilla; Brunbjerg, Ane Kirstine; Andersen, Dagmar Kappel; Dalby, Lars; Lehmann, Louise Juhi; Bruun, Hans Henrik; Ejrnaes, Rasmus"	"Nibble, cut, stomp and burn: Biodiversity effects of disturbances in fen grassland"	APPLIED VEGETATION SCIENCE	NA	25	2	NA	NA	NA	NA	e12666	10.1111/avsc.12666	Article	APR 2022	2022	"Aims We assessed biodiversity effects of disturbance in meadows and rich fens. We hypothesized that disturbances and their timing affect plant and bryophyte species richness and other indicators of conservation success. More specifically, we expected conservation status to improve with disturbances that mimic natural grazing processes, that is, that extensive year-round grazing with trampling had a more positive effect than intensive summer grazing or mowing. Location Kastbjerg wetlands, Jutland, Denmark. Methods In a three-year field experiment, we applied trampling, season-specific defoliation with biomass removal and burning in a randomized design in nine wetland sites. We recorded species richness and community composition. Bayesian generalized linear mixed-effects models were built with treatment as fixed effect, site as random effect and species richness or species composition as responses. Leaf N and P, and soil moisture were included as covariables. Further, a quadratic discriminant analysis (QDA) was applied to test for discrimination between treatments based on a set of biodiversity indicators. Results Environmental and biotic differences among sites were considerable and significant indicating a considerable effect of historical contingency (local species pool). We found only minor and mostly insignificant effects of disturbance on vegetation. However, a QDA revealed significant differences among treatments based on five indicators for conservation status. Simulated grazing and trampling were generally associated with higher vascular plant richness, bryophyte richness, number of indicator species and stress-tolerant species and decreasing abundance of competitive species. Conclusion We found small, but positive effects of disturbance on biodiversity indicators of wetland vegetation after three years of experimental treatments. Initial site differences explained most variation, indicating strong historical contingency. Our results support the need for restoration of disturbances in fens and meadows, and the importance of prioritizing areas with near-natural biotas."	6	0	0	0	3	0	6	2022-06-14	WOS:000805854900001	0	1	0	0	0	0	0	0	0	0	0	0	0	0	YES
J	"Runnel, Kadri; Palo, Anneli; Reila, Artur; Rosenvald, Raul; Lohmus, Asko"	External management effects on the stand structure of protected forest patches	APPLIED VEGETATION SCIENCE	NA	25	2	NA	NA	NA	NA	e12655	10.1111/avsc.12655	Article	APR 2022	2022	"Questions In production forest landscapes, threatened species are increasingly confined to fragments of natural forest. Protecting such fragments is a priority to halt further biological degradation, but its effectiveness depends on external impacts on the fragments. In this study, we ask: how does woody vegetation in protected old-forest fragments vary depending on management of their adjacent areas, also in combination with natural site conditions? What are the management impacts on habitat quality of the fragments in the long term? Location Pinus-dominated and Picea mixed-wood forests in Estonia (hemiboreal Europe). Methods Forest structure and microclimate were measured at the edge and interior of protected old-forest fragments. Woody vegetation layers, shrub species composition, coarse woody debris, and presence of cut stumps were measured in 107 fragments (adjacent to clearcuts, partial cuts, and unthinned production forests) and in 20 control stands embedded within natural forest. Air temperature and humidity were measured at the edges vs the interior of mixed-woods. Edge age effects were explored along 80 years of post-harvest chronosequences. Results All edge types studied had multiple, partly forest-type-specific, external effects on stand structure. Some clear-cutting effects on woody layers reversed in later decades, but there was also persistent impoverishment of deadwood pools of the fragments probably related to unreported tree removal. There was a likely indirect pathway of edge effects through overstorey loss, and shrub cover was reduced in the long term. Exotic species were rare. Edges at clear-cut stands influenced humidity regimes rather than temperature regimes. Conclusions The moderate external effects on stand structure were tightly linked to low overstorey mortality and a lack of exotic species across the forest landscapes studied. Changes in these key factors constitute risks for the future. Protecting set-asides from occasional tree cutting, and establishing forest buffers around small fragments and as a precautionary strategy are current priorities in these forest landscapes."	6	0	0	0	1	0	6	2022-04-22	WOS:000779497100001	0	0	0	0	0	0	0	0	0	0	0	1	0	0	YES
J	"Macek, Petr; Schob, Christian; Nunez-Avila, Mariela; Hernandez Gentina, Ivan R.; Pugnaire, Francisco I.; Armesto, Juan J."	Shrub facilitation drives tree establishment in a semiarid fog-dependent ecosystem	APPLIED VEGETATION SCIENCE	NA	21	1	NA	NA	113	120	NA	10.1111/avsc.12301	Article	JAN 2018	2018	"QuestionsThe exceptional occurrence of tall rain forest patches on foggy coastal mountaintops, surrounded by extensive xerophytic shrublands, suggests an important role of plant-plant interactions in the origin and persistence of these patches in semi-arid Chile. We asked whether facilitation by shrubs can explain the growth and survival of rain forest tree species, and whether shrub effects depend on the identity of the shrub species itself, the drought tolerance of the tree species and the position of shrubs in regard to wind direction.LocationOpen area-shrubland-forest matrix, Fray Jorge Forest National Park, Chile.MethodsWe recorded survival after 12years of a similar to 3600 tree saplings plantation (originally similar to 30-cm tall individuals) of Aextoxicon punctatum, Myrceugenia correifolia and Drimys winteri placed outside forests, beneath the shrub Baccharis vernalis, and in open (shrub-free) areas. We assessed the effects of neighbouring shrubs and soil humidity on survival and growth along a gradient related to the direction of fog movement.ResultsB. vernalis had a clear facilitative effect on tree establishment and survival since, after similar to 12years, saplings only survived beneath the shrub canopy. Long-term survival strongly depended on tree species identity, drought tolerance and position along the soil moisture gradient, with higher survival of A. punctatum (>35%) and M. correifolia (>14%) at sites on wind- and fog-exposed shrubland areas. Sites occupied by the shrub Aristeguietia salvia were unsuitable for trees, presumably due to drier conditions than under B. vernalis.ConclusionsInteractions between shrubs and fog-dependent tree species in dry areas revealed a strong, long-lasting facilitation effect on planted tree's survival and growth. Shrubs acted as benefactors, providing sites suitable for tree growth. Sapling mortality in the shrubland interior was caused by lower soil moisture, the consequence of lower fog loads in the air and thus insufficient facilitation. While B. vernalis was a key ecosystem engineer (nurse) and intercepted fog water that dripped to trees planted underneath, drier sites with A. salvia were unsuitable for trees. Consequently, nurse effects related to water input are strongly site and species specific, with facilitation by shrubs providing a plausible explanation for the initiation of forest patches in this semi-arid landscape."	12	0	0	0	9	1	13	2018-03-13	WOS:000425120600013	0	0	0	0	0	0	0	0	0	0	0	0	0	1	YES
J	"Wulf, Monika; Heinken, Thilo"	Colonization of recent coniferous versus deciduous forest stands by vascular plants at the local scale	APPLIED VEGETATION SCIENCE	NA	11	3	NA	NA	307	316	NA	10.3170/2008-7-18432	Article	AUG 2008	2008	"Questions: 1. Are there differences among species in their preference for coniferous vs. deciduous forest? 2. Are tree and shrub species better colonizers of recent forest stands than herbaceous species? 3. Do colonization patterns of plant species groups depend on tree species composition?Location: Three deciduous and one coniferous recent forest areas in Brandenburg, NE Germany.Methods: fit 34 and 2 1 transects in coniferous and deciduous stands, respectively. we studied the occurrence and percentage cover of vascular plants in a total of 150 plots in ancient stands, 3 15 in recent stands and 55 at the ecotone. Habitat preference, diaspore weight, generative dispersal potential and clonal extension were used to explain mechanisms of local migration. Regression analysis was conducted to test whether migration distance was related to species' life-history traits.Results: 25 species were significantly associated with ancient stands and ten species were significantly more frequent in recent stands. Tree and shrub species were good colonizers of recent coniferous and deciduous stands. In the coniferous stands, all herbaceous species showed a strong dispersal limitation during colonization. whereas in the deciduous stands generalist species may have survived in the grasslands which were present prior to afforestation.Conclusions: The fast colonization of recent stands by trees and shrubs can be explained by their effective dispersal via wind and animals. This, and the comparably efficient migration of herbaceous forest specialists into recent coniferous stands, implies that the conversion of coniferous into deciduous stands adjacent to ancient deciduous forests is promising even without planting of trees."	18	0	0	0	22	1	23	2008-08-01	WOS:000263168800003	0	0	0	0	0	0	0	0	0	0	0	1	0	0	YES
J	"Van Calster, Hans; Chevalier, Richard; Van Wyngene, Bram; Archaux, Frederic; Verheyen, Kris; Hermy, Martin"	Long-term seed bank dynamics in a temperate forest under conversion from coppice-with-standards to high forest management	APPLIED VEGETATION SCIENCE	NA	11	2	NA	NA	251	260	NA	10.3170/2008-7-18405	Article	APR 2008	2008	"Questions: How do changes in forest management, i.e. in disturbance type and frequency, influence species diversity, abundance and composition of the seed bank? How does the relationship between seed bank and vegetation change? What are the implications for seed bank dynamics?Location: An ancient Quercus petraea - Carpinus betulus forest in conversion from coppice-with-standards to regular Quercus high forest near Montargis, France.Methods: Seed bank and vegetation were sampled in six replicated stand types, forming a chronosequence along the conversion pathway. The stand types represented mid-successional stages of stands in transition from coppice-with-standards (to high forest (16 plots) and early-and mid-successional high forest stands (32 plots).Results: Seed bank density and species richness decreased with time since last disturbance. Adjusting for seed density effects obscured species richness differences between stand types, but species of later seres were nested subsets of earlier seres, implying concomitant shifts in species richness and composition with time since disturbance. Later seres were characterized by species with low seed weight and high seed longevity. Seed banks of early seres were more similar to vegetation than to later seres.Conclusions: Abandonment of the coppice-with-standards regime altered the seed bank characteristics, as well as its relationship with vegetation. Longer management cycles under high forest yield impoverished seed banks. For their persistence, seed bank species will increasingly rely on management of permanently open areas in the forest landscape. Thus, revegetation at the beginning of new high-forest cycles may increasingly depend on inflow from seed sources."	42	0	0	0	42	0	51	2008-04-01	WOS:000255229600012	0	0	0	0	0	0	0	0	0	0	0	1	0	0	YES
J	"Raudainen, P.; Laine, A.-L.; Aikio, S.; Aspi, J.; Siira, J.; Hyvarinen, M."	Seashore disturbance and management of the clonal Arctophila fulva: Modelling patch dynamics	Applied Vegetation Science	NA	7	2	NA	NA	221	228	NA	NA	Article	November 2004	2004	"Question: What is the population viability of a critically endangered seashore grass, Arctophila fulva var. pendulina. Location: Liminka Bay, W Finland, 25degree21'70 N,64degree51'90 E. Methods: We constructed a matrix population model based on colonization and disappearance events and patch size changes of A.fulva. Patches were divided into hydric and non-hydric zones according to proximity to the seashore and intensity of disturbance. Perturbation analyses were carried out in order to identify transitions critical for population growth. Seed bank and seed germination studies provided background information for the model design. Results: A. fulva patches observed in the more disturbed hydric zone (closest to the sea) increased in number, as did the total number of patches. However, the number of patches in the less disturbed non-hydric zone decreased. Conclusions: Short-term dynamics of the A.fulva population at Liminka Bay seem to be determined by environmental fluctuations. which cause annual variation in transition rates between patch size classes. The long-term dynamics are probably governed by initiation of primary succession by isostatic land uplift. Increased disturbance at the water's edge may promote persistence of A.fulva through reduced interspecific competition. Our results suggest that shoreline disturbance of the hydric zone is sufficient for maintaining a viable population. Competitive exclusion of A. fulva in the non-hydric zone may be delayed by management practices, such as mowing."	0	0	0	NA	0	0	0	2004-11-01	BCI:BCI200500082083	0	0	0	0	0	0	0	0	0	0	0	0	0	1	YES
